date,product,region,channel,price,discount_pct,marketing_spend,units_sold,customer_segment,revenue,churn_risk
2025-01-01,Alpha,North,Online,110,5,5000,120,SMB,12540,Low
2025-01-08,Alpha,North,Online,112,5,5200,118,SMB,12510,Low
2025-01-15,Alpha,North,Retail,115,7,5300,109,Mid-Market,11617,Low
2025-01-22,Alpha,South,Online,108,10,4900,132,SMB,12830,Medium
2025-01-29,Alpha,South,Partner,109,12,4700,127,Enterprise,12181,Medium
2025-02-05,Beta,North,Online,145,6,6100,94,Mid-Market,12809,Low
2025-02-12,Beta,North,Retail,147,8,6400,90,Mid-Market,12172,Low
2025-02-19,Beta,South,Online,142,9,6200,101,SMB,13042,Medium
2025-02-26,Beta,West,Partner,149,10,6600,88,Enterprise,11797,High
2025-03-05,Gamma,East,Online,95,4,4100,150,SMB,13680,Low
2025-03-12,Gamma,East,Retail,97,6,4300,143,SMB,12993,Low
2025-03-19,Gamma,South,Online,92,8,4000,158,SMB,13381,Medium
2025-03-26,Gamma,West,Partner,99,9,4500,138,Enterprise,12418,Medium
2025-04-02,Alpha,West,Online,114,5,5600,116,Mid-Market,12554,Low
2025-04-09,Alpha,West,Retail,116,6,5500,111,Mid-Market,12101,Low
2025-04-16,Alpha,East,Online,111,7,5400,119,SMB,12257,Low
2025-04-23,Beta,East,Online,148,7,6800,87,Enterprise,11978,Medium
2025-04-30,Beta,South,Retail,144,8,6500,96,Mid-Market,12718,Medium
2025-05-07,Beta,West,Online,151,9,7000,85,Enterprise,11678,High
2025-05-14,Gamma,North,Online,96,5,4200,149,SMB,13550,Low
2025-05-21,Gamma,North,Retail,98,5,4400,144,Mid-Market,13395,Low
2025-05-28,Gamma,South,Partner,100,7,4600,141,Enterprise,13113,Medium
2025-06-04,Alpha,North,Online,118,6,5900,113,Mid-Market,12571,Low
2025-06-11,Alpha,South,Online,106,14,4800,138,SMB,12601,High
2025-06-18,Beta,East,Partner,153,11,7100,83,Enterprise,11321,High
2025-06-25,Beta,West,Online,150,10,6900,86,Enterprise,11610,High
2025-07-02,Gamma,East,Online,94,6,4050,156,SMB,13722,Low
2025-07-09,Gamma,West,Retail,101,8,4700,136,Mid-Market,12653,Medium
2025-07-16,Alpha,East,Partner,113,9,5650,110,Enterprise,11299,Medium
2025-07-23,Alpha,North,Online,119,5,6000,112,SMB,12662,Low

